; name
1;Gereshk
2;Panjshir
3;Kabul
4;Tirana
5;Algiers
6;Vienna
7;Baku
8;Manama
9;Antwerp
10;Brussels
11;Flanders
12;Wallonia
13;Sofia
14;Rangoon
15;Sihanoukville
16;Phnom Penh
17;Battambang
18;Kampong Cham
19;Kampong Chhnang
20;Kampong Speu
21;Kampong Thom
22;Kampot
23;Koh Kong
24;Kratie
25;Krong Kep
26;Pailin
27;Pursat
28;Prey Veng
29;Siem Reap
30;Stung Treng
31;Svay Rieng
32;Takeo
33;Amdagalgi
34;Hodogouay
35;Hodogway
36;Bila Matoko
37;Sera Loumda
38;Mada
39;Mada Kolkoss
40;Chalang
41;Miskine
42;Mongoussi
43;Saoudjo
44;Monkong
45;Waza
46;Seraoua
47;Papada
48;Moulandji
49;Loubbour
50;Manikalou
51;Nanikalo
52;Djong Djong
53;Gouloua
54;Ouazan
55;Gaouel
56;Ndokula
57;Ndokoula
58;Zongouya
59;Songeua
60;Songeoua
61;Longouya
62;Gassoua
63;Gazaoua
64;Gasaua
65;Gassaoua
66;Katoal
67;Katual
68;Jakang
69;Magadi
70;Jarua’s
71;Roum
72;Madelhout
73;Mambeia
74;Manbeya
75;Margi
76;Bousaya
77;Dougoumassi
78;Edu-Nkono’s
79;Njūm
80;Njola
81;Nyola
82;Gerwidig
83;Girwidig
84;Guirwidig
85;Gouirwidig
86;Dukba
87;Doukba
88;Yemtoka
89;Yemtoka
90;Yemtoka
91;Yemtoka
92;Kitchaha
93;Kintchaha
94;Gwova
95;Douban
96;Doumourou
97;Dumuru
98;Rharaf
99;Rharaf
100;Rharaf
101;Logoya
102;Tikin’s
103;Logo
104;Mondousa
105;Doutarou
106;Dirtcha
107;Mabourkia
108;Ndoughoula
109;Mbobori
110;Mbartala
111;Njen
112;Sakimbonda
113;Mom-Nug’s
114;Maka
115;Youkadouma
116;Dihani
117;Dehani
118;Ndongliem
119;Nkongsomba
120;Foe
121;Fico
122;Esosoung
123;Ekume Ekundunene
124;Ndoum
125;Ekundu-Titi
126;Ekoundon Titi
127;Ebunji
128;Ebounji
129;Dikeme
130;Mboume
131;Boa Bekondo
132;Batoki
133;Nyasoso
134;Kose
135;Kasse
136;Kake II
137;Izongo
138;Port Isongo
139;Nganju Bulende
140;Nganjo Bolende
141;Ngabe
142;Mbu
143;Bawinga
144;Vavenga
145;Manengotene
146;Manengoten
147;Manengbleng
148;Bangele
149;Vafia-Likoki
150;Vafia
151;Baffia
152;Owe Yoke
153;Konje
154;Nkong Pina
155;Nkomalang
156;Balge
157;Adda
158;Muakam
159;Muambong
160;Bamoungo
161;Bakingele
162;Soppo
163;Zopo
164;Sŏpo
165;Mafako
166;Lisoka
167;Nguandang
168;Victoria
169;Bonji
170;Ekumbe Bonji
171;Kumba
172;Oualeo Siouo
173;Gadouba
174;Bandjou
175;Kombo Porigo
176;Mange Samba
177;Sokulang
178;Pitti
179;Lum
180;Lokanda
181;Lokonda
182;Lobe Estate
183;Liwenji
184;Lisoni
185;Bwanda
186;Kandonge
187;Mahana
188;Baromb Kang
189;Ndunge
190;Mpondo
191;Moviongo
192;Bowiongo
193;Mussoko
194;Musoko
195;Mundek
196;Buea
197;Nkwangsi
198;Ilkwangsi II
199;Ndom II
200;Ndokbelle
201;Narende
202;Nake II
203;Doula
204;Duala
205;Douala
206;Do
207;Yebale
208;Jebale II
209;Jebale
210;Buasa
211;Buassa
212;Dissesso
213;Ndondono
214;Monoka
215;Mukondange
216;Bonako
217;Bonako-Mungo
218;Wonakanda
219;Bonidekombo
220;Bouaberi
221;Boniberi
222;Mukuna
223;Mukono
224;Missallelle
225;Missallele
226;Munyange
227;Mukonye
228;Mouyouka
229;Musome
230;Mesame
231;Mesambe
232;Njouki
233;Njuki
234;Dikome
235;Likume
236;Lekumbi
237;Dikombe Ngolo
238;Lienyi
239;Lieni
240;Mbouzie
241;Mbonyo
242;Bounjou Keme
243;Bunyu Keme
244;Bolyfamba
245;Bolifambi
246;Bokwei
247;Wokwae
248;Bokoso
249;Small Moundu
250;Karnak Logone
251;Karnak
252;Goundey Mango
253;Njoke
254;Yoke Yokon
255;Nyoke
256;Jassem
257;Japoma
258;Yabazi
259;Yabasi
260;Jabassi
261;Mbalange
262;Balangi
263;Massuma
